  NIT   NF   F                       GTG
  385 4073  7.093299026440260E+00   1.30593254E+03
  386 4081  7.089682133996733E+00   1.27750583E+02
  387 4090  7.087032982068473E+00   1.84269136E+02
  388 4117  7.062729455538596E+00   6.55606888E+03
  389 4126  7.057916856268831E+00   1.88956581E+03
  390 4141  7.046355717906079E+00   1.46848653E+03
  391 4157  7.039250594015660E+00   1.99687048E+03
  392 4172  7.031828104788861E+00   9.12691146E+02
  393 4200  7.012998738908404E+00   7.44745556E+02
  394 4209  7.008649680491366E+00   2.68027846E+03
  395 4218  7.004558507441723E+00   1.31568694E+02
  396 4228  6.998308049423221E+00   5.15026499E+02
  397 4237  6.993866033883307E+00   9.63885174E+02
  398 4248  6.984450580548159E+00   2.20994980E+02
  399 4258  6.978315247470000E+00   1.69554524E+02
  400 4267  6.971775504847598E+00   1.20854772E+03
  401 4276  6.967125155560020E+00   3.70475974E+02
  402 4285  6.963575708366905E+00   1.21774428E+03
  403 4294  6.961112615606043E+00   3.16236256E+02
  404 4304  6.958315241798338E+00   1.39641671E+03
  405 4313  6.955486819026809E+00   8.04315314E+02
  406 4322  6.952700206620283E+00   1.88482758E+02
  407 4337  6.941487467563758E+00   2.56402310E+02
  408 4351  6.929406885613254E+00   1.00412374E+03
  409 4361  6.921513049759404E+00   4.17496827E+02
  410 4378  6.910271135022064E+00   1.33210398E+03
  411 4401  6.892526327036148E+00   4.67303933E+02
  412 4417  6.881007046016122E+00   2.75982471E+03
  413 4432  6.872010318887006E+00   1.43894332E+03
  414 4442  6.868300816051287E+00   2.15370453E+02
  415 4452  6.862206305574039E+00   2.05300432E+03
  416 4462  6.857203156249546E+00   8.44886948E+02
  417 4502  6.819007642839717E+00   1.68788240E+04
  418 4512  6.810562965273307E+00   2.19960420E+03
  419 4522  6.805795270918609E+00   2.19095302E+02
  420 4539  6.788987716904267E+00   1.31724604E+03
  421 4554  6.776638231864440E+00   3.37796101E+03
  422 4564  6.767522262695958E+00   1.35763524E+03
  423 4581  6.751799852008997E+00   2.10903284E+03
  424 4590  6.745891588577168E+00   4.94807476E+03
  425 4601  6.737970977770602E+00   2.10395074E+03
  426 4616  6.726201525708460E+00   6.97030345E+02
  427 4625  6.716938472204304E+00   2.21470586E+03
  428 4635  6.711645710734457E+00   1.87750711E+02
  429 4650  6.698858849639546E+00   3.36117075E+03
  430 4665  6.686919124706374E+00   6.64749679E+03
  431 4675  6.677627291763110E+00   9.05516258E+02
  432 4684  6.672560150279561E+00   3.09296209E+03
  433 4706  6.649259542135376E+00   1.11575712E+04
  434 4715  6.643656448624159E+00   3.74643819E+03
  435 4725  6.632908419803591E+00   8.33100297E+02
  436 4742  6.617059628172471E+00   3.26461303E+02
  437 4752  6.612856758045494E+00   1.35221897E+02
  438 4762  6.605060360858626E+00   1.08666763E+03
  439 4772  6.594050318641472E+00   3.75349082E+03
  440 4781  6.585354444472943E+00   4.66861390E+02
  441 4796  6.570171641273106E+00   3.05803808E+03
  442 4806  6.561359400270182E+00   4.77564542E+03
  443 4821  6.545229868297839E+00   1.52762880E+03
  444 4844  6.516297968098104E+00   2.88495992E+03
  445 4854  6.506855303747614E+00   2.79512908E+03
  446 4879  6.475892339280135E+00   1.69327585E+03
  447 4890  6.468627905465719E+00   3.61287295E+02
  448 4907  6.454056494844996E+00   3.13193072E+03
  449 4923  6.442761455650869E+00   2.34789540E+03
  450 4939  6.430098259450403E+00   6.18873509E+03
  451 4944  6.428332542640809E+00   8.00043894E+01
  452 4961  6.402044579462233E+00   8.52880725E+02
  453 4978  6.374816318589836E+00   7.17656371E+03
  454 4989  6.366547066501128E+00   2.18299210E+03
  455 5000  6.356970994321228E+00   1.95230717E+02
  455 5000  6.356970994321228E+00   1.95230717E+02
tnc: Maximum number of function evaluations reached
##### 
 Training Time = 1241.5217812 


============================= JOB FEEDBACK =============================

NodeName=uc2n512
Job ID: 25286478
Cluster: uc2
User/Group: ul_wno19/ul_student
State: COMPLETED (exit code 0)
Nodes: 1
Cores per node: 10
CPU Utilized: 00:20:43
CPU Efficiency: 9.52% of 03:37:30 core-walltime
Job Wall-clock time: 00:21:45
Memory Utilized: 1.08 GB
Memory Efficiency: 6.76% of 16.00 GB
