  NIT   NF   F                       GTG
  254 3613  4.036009223842729E-02   1.40278726E+00
  255 3627  4.004930324402300E-02   6.94991040E+00
  256 3638  3.978290224123009E-02   3.08084240E+00
  257 3649  3.960541217096195E-02   2.56040616E+00
  258 3687  3.858026924979051E-02   3.04725129E+00
  259 3701  3.835821297590651E-02   3.44804353E-01
  260 3726  3.773632044470166E-02   2.53066984E+00
  261 3748  3.728694783683421E-02   1.73204473E+00
  262 3766  3.699088797722454E-02   2.35824869E+00
  263 3777  3.685482491272771E-02   3.27957690E+00
  264 3787  3.671261896329835E-02   4.44230992E-01
  265 3799  3.653916021237302E-02   4.19486778E+00
  266 3816  3.618854120343119E-02   2.00024285E+00
  267 3832  3.580353448636558E-02   2.42593603E+00
  268 3847  3.544310143861763E-02   1.76372127E+00
  269 3873  3.486558253566291E-02   2.89993585E+00
  270 3888  3.461101597741916E-02   2.03815734E+00
  271 3899  3.438792848670971E-02   8.90965554E+00
  272 3925  3.389612910763193E-02   6.27733769E+00
  273 3940  3.369820560341526E-02   1.75427980E+00
  274 3955  3.351289085095998E-02   1.51896369E-01
  275 3974  3.316562401932742E-02   4.79979540E+00
  276 4009  3.251205154597961E-02   2.42211614E+00
  277 4031  3.224606533456306E-02   5.73124935E+00
  278 4047  3.200666701996722E-02   1.09252640E+00
  279 4068  3.170442355242936E-02   1.48432399E+00
  280 4108  3.095591613184479E-02   9.97332649E+00
  281 4112  3.091603280824399E-02   3.98061043E-01
  282 4127  3.079790820079976E-02   7.49169258E-01
  283 4142  3.068652443227937E-02   3.70209095E-01
  284 4169  3.046210284901813E-02   5.21719751E-01
  285 4195  3.025899389900181E-02   7.12063852E-01
  286 4206  3.020672715990521E-02   1.16143212E+00
  287 4235  2.988809459398008E-02   2.87908069E+00
  288 4259  2.970255727898675E-02   3.89713041E+00
  289 4275  2.961429252861136E-02   3.41744578E-01
  290 4288  2.953016649476848E-02   1.50992514E+00
  291 4299  2.943489613199875E-02   8.78752316E-01
  292 4323  2.918440668769495E-02   1.63504468E+00
  293 4354  2.884626514057417E-02   8.24992101E+00
  294 4365  2.877616337565611E-02   9.86901504E-01
  295 4384  2.859216891689031E-02   3.01164909E-01
  296 4403  2.838138801264609E-02   2.32306610E+00
  297 4418  2.829415759748474E-02   5.64181270E-01
  298 4432  2.819976089929446E-02   3.84164298E-01
  299 4445  2.810736284423635E-02   5.95143373E-01
  300 4456  2.800401086733843E-02   1.34174467E+00
  301 4467  2.794373361776571E-02   3.44979473E+00
  302 4478  2.785703170678989E-02   4.42543288E-01
  303 4499  2.770027370227782E-02   3.11409396E-01
  304 4523  2.754447882840611E-02   1.81156807E+00
  305 4534  2.749942507856493E-02   9.47997556E-01
  306 4559  2.728629078712392E-02   2.00206961E-01
